month,product,n
2024-01,Checking or savings account,4032
2024-01,Credit card,5247
2024-01,Credit reporting or other personal consumer reports,119512
2024-01,Debt collection,7175
2024-01,"Money transfer, virtual currency, or money service",1286
2024-01,Mortgage,1812
2024-01,Student loan,1617
2024-01,Vehicle loan or lease,1070
2024-02,Checking or savings account,3833
2024-02,Credit card,5182
2024-02,Credit reporting or other personal consumer reports,132992
2024-02,Debt collection,8772
2024-02,"Money transfer, virtual currency, or money service",1306
2024-02,Mortgage,1942
2024-02,Student loan,1222
2024-02,Vehicle loan or lease,1032
2024-03,Checking or savings account,4257
2024-03,Credit card,5889
2024-03,Credit reporting or other personal consumer reports,147637
2024-03,Debt collection,12354
2024-03,"Money transfer, virtual currency, or money service",1457
2024-03,Mortgage,1893
2024-03,Student loan,1323
2024-03,Vehicle loan or lease,1333
2024-04,Checking or savings account,4327
2024-04,Credit card,6676
2024-04,Credit reporting or other personal consumer reports,160450
2024-04,Debt collection,12912
2024-04,"Money transfer, virtual currency, or money service",1285
2024-04,Mortgage,1817
2024-04,Student loan,1159
2024-04,Vehicle loan or lease,1094
2024-05,Checking or savings account,4539
2024-05,Credit card,6760
2024-05,Credit reporting or other personal consumer reports,181420
2024-05,Debt collection,12426
2024-05,"Money transfer, virtual currency, or money service",1351
2024-05,Mortgage,1713
2024-05,Student loan,1260
2024-05,Vehicle loan or lease,1050
2024-06,Checking or savings account,3886
2024-06,Credit card,5535
2024-06,Credit reporting or other personal consumer reports,177583
2024-06,Debt collection,11099
2024-06,"Money transfer, virtual currency, or money service",1268
2024-06,Mortgage,1575
2024-06,Student loan,987
2024-06,Vehicle loan or lease,946
2024-07,Checking or savings account,4329
2024-07,Credit card,6192
2024-07,Credit reporting or other personal consumer reports,203567
2024-07,Debt collection,12149
2024-07,"Money transfer, virtual currency, or money service",1328
2024-07,Mortgage,1737
2024-07,Student loan,960
2024-07,Vehicle loan or lease,1025
2024-08,Checking or savings account,4683
2024-08,Credit card,7355
2024-08,Credit reporting or other personal consumer reports,230748
2024-08,Debt collection,14171
2024-08,"Money transfer, virtual currency, or money service",1557
2024-08,Mortgage,1861
2024-08,Student loan,882
2024-08,Vehicle loan or lease,1150
2024-09,Checking or savings account,4270
2024-09,Credit card,7185
2024-09,Credit reporting or other personal consumer reports,230926
2024-09,Debt collection,15475
2024-09,"Money transfer, virtual currency, or money service",1316
2024-09,Mortgage,1779
2024-09,Student loan,1549
2024-09,Vehicle loan or lease,1087
2024-10,Checking or savings account,4692
2024-10,Credit card,7176
2024-10,Credit reporting or other personal consumer reports,259079
2024-10,Debt collection,17482
2024-10,"Money transfer, virtual currency, or money service",1450
2024-10,Mortgage,1809
2024-10,Student loan,1459
2024-10,Vehicle loan or lease,1187
2024-11,Checking or savings account,5175
2024-11,Credit card,6095
2024-11,Credit reporting or other personal consumer reports,253749
2024-11,Debt collection,15454
2024-11,"Money transfer, virtual currency, or money service",1416
2024-11,Mortgage,1717
2024-11,Student loan,916
2024-11,Vehicle loan or lease,1141
2024-12,Checking or savings account,4798
2024-12,Credit card,6697
2024-12,Credit reporting or other personal consumer reports,267923
2024-12,Debt collection,16425
2024-12,"Money transfer, virtual currency, or money service",1731
2024-12,Mortgage,1784
2024-12,Student loan,1323
2024-12,Vehicle loan or lease,1245
2025-01,Checking or savings account,18367
2025-01,Credit card,9073
2025-01,Credit reporting or other personal consumer reports,365867
2025-01,Debt collection,23830
2025-01,"Money transfer, virtual currency, or money service",49743
